name,last,high,low,absolute_change,percent_change,vol
"Boeing","209.16","211.41","207.91",-0.06,-0.03,4310000
"General Motors","38.56","38.97","38.45",-0.09,-0.23,11720000
"Chevron","151.02","155.31","150.99",-3.04,-1.97,8040000
"Citigroup","53.98","54.44","53.53",-0.31,-0.57,11750000
"Bank of America","33.05","33.25","32.83",-0.07,-0.2,30560000
"AT&T","16.83","16.88","16.57",0.01,0.06,40000000
"Caterpillar","316.89","322.33","315.57",-5.11,-1.59,2780000
"Intel","43.31","43.52","42.40",0.81,1.91,43560000
"Microsoft","420.55","420.82","415.09",6.44,1.56,21300000
"Ford Motor","12.68","12.92","12.64",-0.15,-1.17,44810000
"eBay","42.43","42.69","41.79",0.41,0.98,4340000
"Walt Disney","108.37","110.14","107.69",-2.17,-1.96,19100000
"Dow","53.99","54.12","53.56",0.11,0.2,3730000
"Cisco","50.10","50.26","49.63",0.15,0.31,21620000
"Deere&Company","381.32","385.30","380.46",-4.51,-1.17,1410000
"FedEx","242.59","242.82","240.14",0.84,0.35,1720000
"General Mills","62.34","63.86","62.09",-1.73,-2.69,4070000
"Corning","32.04","32.05","31.58",0.31,0.98,2760000
"Goldman Sachs","384.21","386.13","382.58",-0.83,-0.22,1620000
"JPMorgan","174.96","175.10","173.67",0.16,0.09,4270000
"Kimberly-Clark","119.81","120.47","119.12",-0.46,-0.38,1570000
"Kraft Heinz","35.97","36.38","35.80",-0.5,-1.37,8020000
"Coca-Cola","59.56","59.58","59.03",-0.27,-0.45,12020000
"McDonald’s","289.41","292.49","288.94",-2.52,-0.86,3140000
"Eli Lilly","739.51","745.68","733.61",3.83,0.52,2410000
"Oracle","116.60","117.34","115.75",-0.08,-0.07,4990000
"Merck&Co","125.43","126.69","125.04",-1.18,-0.93,5890000
"Motorola","330.98","333.00","323.23",2.63,0.8,1180000
"3M","92.89","93.30","92.39",-0.31,-0.33,3620000
"Vertex","422.91","425.96","419.51",-0.15,-0.04,1100000
"Monster Beverage","55.66","56.57","55.35",-0.83,-1.47,3760000
"Fifth Third","33.65","33.74","33.02",0.26,0.78,4030000
"Cintas","618.22","620.32","614.07",1.06,0.17,248630
"Autodesk","266.68","269.53","262.85",5.17,1.98,1730000
"Gilead","73.67","74.11","72.81",-0.13,-0.18,10150000
"Alphabet A","149.00","149.44","146.18",3.09,2.12,26030000
"Fiserv","144.23","144.34","142.74",0.68,0.47,1730000
"Adobe","627.21","628.07","615.80",11.35,1.84,1950000
"Qualcomm","151.00","153.40","148.35",2.82,1.9,11310000
"Warner Bros Discovery","9.64","9.89","9.57",-0.19,-1.93,22450000
"Applied Materials","185.84","186.15","178.62",11.95,6.87,9240000
"Steel Dynamics","124.99","125.66","124.21",0.15,0.12,1120000
"Cadence Design","311.94","313.11","308.82",4.58,1.49,1300000
"Microchip","85.44","86.00","84.67",1.09,1.29,4750000
"Wynn Resorts","105.60","106.89","104.26",-0.51,-0.48,2400000
"Intuitive Surgical","388.22","389.92","383.05",1.28,0.33,1100000
"Nasdaq Inc","57.25","57.35","56.65",0.49,0.86,1250000
"Henry Schein","73.72","75.18","73.43",-1.18,-1.58,1330000
"Paychex","123.03","123.25","121.84",0.28,0.23,1680000
"VeriSign","198.38","203.00","197.08",-2.64,-1.31,1470000
"Apple","188.85","189.99","188.00",0.77,0.41,43180000
"Fastenal","70.02","70.06","69.16",0.76,1.1,2610000
"Dentsply","32.79","33.16","32.73",-0.37,-1.12,3230000
"Zions","40.09","40.41","39.45",0.2,0.5,2070000
"Northern Trust","79.64","79.73","78.25",1.17,1.49,1120000
"CH Robinson","74.67","74.85","73.59",0.01,0.01,775730
"PACCAR","106.01","106.08","104.96",0.4,0.38,1400000
"Amazon.com","174.45","175.00","170.58",4.61,2.71,52940000
"Ross Stores","145.87","146.42","145.20",-0.19,-0.13,1260000
"NetApp","89.85","90.33","88.78",0.93,1.05,1360000
"Garmin","123.21","123.70","121.90",0.89,0.73,580350
"Costco","723.40","725.53","720.12",-0.76,-0.1,1370000
"Lam Research","911.58","913.82","874.86",47.22,5.46,1820000
