 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
        1951999 ┊     39.74% ┊ table[0]
        1747989 ┊     35.59% ┊   ⤷ elem[0]
          93998 ┊      1.91% ┊       ⤷ <either_of::EitherOf3<A,B,C> as routing::matching::choose_view::ChooseView<Rndr>>::choose::hd975a6635b856006
          46578 ┊      0.95% ┊           ⤷ <F as routing::matching::choose_view::ChooseView<R>>::choose::h7ce20fca5dd2c023
          46515 ┊      0.95% ┊               ⤷ core::ops::function::Fn::call::h6f23ce6a5c34d4bf
          46462 ┊      0.95% ┊                   ⤷ ssr_modes_axum::app::Post::hb7bc49f3d2abcecf
          46452 ┊      0.95% ┊                       ⤷ reactive_graph::graph::subscriber::untrack::h4b3f895d9729e826
          46388 ┊      0.94% ┊                           ⤷ ssr_modes_axum::app::Post::{{closure}}::hc146cc2ce55a72c3
          46342 ┊      0.94% ┊                               ⤷ ssr_modes_axum::app::__Post::h43a792cea2f8e08c
          31690 ┊      0.65% ┊                                   ⤷ leptos_server::resource::Resource<T,leptos_server::serializers::SerdeJson>::new_serde::hc24e41cc52412e56
          31642 ┊      0.64% ┊                                       ⤷ leptos_server::resource::Resource<T,Ser>::new_with_encoding::h9c2e3a52029dab4a
          29745 ┊      0.61% ┊                                           ⤷ leptos_server::resource::ArcResource<T,Ser>::new_with_encoding::h003f03cd629ac85d
          17721 ┊      0.36% ┊                                               ⤷ <T as leptos_server::serializers::SerializableData<leptos_server::serializers::SerdeJson>>::de::h61e99865e4b1aac1
          17657 ┊      0.36% ┊                                                   ⤷ serde_json::de::from_str::h45db6a23064201d8
          17556 ┊      0.36% ┊                                                       ⤷ serde_json::de::from_trait::h796b9fcdddc7024e
          16467 ┊      0.34% ┊                                                           ⤷ serde::de::impls::<impl serde::de::Deserialize for core::result::Result<T,E>>::deserialize::h9caf262afe2d291b
          16382 ┊      0.33% ┊                                                               ⤷ <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_enum::h5e0d4dd532888e75
          11925 ┊      0.24% ┊                                                                   ⤷ <serde::de::impls::<impl serde::de::Deserialize for core::result::Result<T,E>>::deserialize::ResultVisitor<T,E> as serde::de::Visitor>::visit_enum::hb8d05eaf801b239b
           6467 ┊      0.13% ┊                                                                       ⤷ serde::de::VariantAccess::newtype_variant::h703f5bde81780b74
           6412 ┊      0.13% ┊                                                                           ⤷ <serde_json::de::VariantAccess<R> as serde::de::VariantAccess>::newtype_variant_seed::h1947b1524f103e7d
